date;home_team;away_team;winner;
13/06/1995;Sweden;China PR;China PR;
10/07/1999;Brazil;Norway;Brazil;
10/07/1999;United States;China PR;United States;
12/03/2009;France;New Zealand;France;
09/07/2011;England;France;France;
10/07/2011;Brazil;United States;United States;
17/07/2011;Japan;United States;Japan;
06/03/2012;New Zealand;Netherlands;Netherlands;
06/03/2012;South Korea;Finland;South Korea;
13/03/2013;South Africa;Northern Ireland;South Africa;
12/03/2014;Scotland;South Korea;South Korea;
11/03/2015;South Korea;Belgium;South Korea;
26/06/2015;Germany;France;Germany;
08/03/2017;Belgium;Austria;Belgium;
08/03/2017;Scotland;Wales;Scotland;
07/03/2018;Wales;Austria;Austria;
06/03/2019;Austria;Belgium;Belgium;
06/03/2019;North Korea;Italy;North Korea;
22/06/2019;Norway;Australia;Norway;
13/04/2021;Switzerland;Czech Republic;Switzerland;
25/09/2021;Jordan;Iran;Iran;
26/10/2021;Ethiopia;Uganda;Uganda;
30/01/2022;Chinese Taipei;Philippines;Philippines;
03/02/2022;China PR;Japan;China PR;
22/02/2022;Mali;Senegal;Senegal;
23/02/2022;Sweden;Italy;Sweden;
